"Var1"	"Var2"	"value"	"T"
"SBDS"	"YWHAG"	0.357486538866118	NA
"GTF2F1"	"CSTF2T"	0.357245522753788	NA
"CSTF2T"	"GTF2F1"	0.357245522753788	NA
"TNRC6A"	"NPM1"	0.35597305109497	NA
"NPM1"	"TNRC6A"	0.35597305109497	NA
"SLTM"	"CPSF6"	0.355785924476403	NA
"CPSF6"	"SLTM"	0.355785924476403	NA
"TARDBP"	"GNL3"	0.355260958877111	"TRUE"
"GNL3"	"TARDBP"	0.355260958877111	NA
"TROVE2"	"GTF2F1"	0.353196627774929	NA
"GTF2F1"	"TROVE2"	0.353196627774929	NA
"SBDS"	"LARP7"	0.352800160221864	NA
"LARP7"	"SBDS"	0.352800160221864	NA
"TARDBP"	"NPM1"	0.351064758006559	"TRUE"
"NPM1"	"TARDBP"	0.351064758006559	NA
"TNRC6A"	"GTF2F1"	0.348792225475865	NA
"GTF2F1"	"TNRC6A"	0.348792225475865	NA
"TROVE2"	"TNRC6A"	0.348563366237604	NA
"TNRC6A"	"TROVE2"	0.348563366237604	NA
"TRA2A"	"SLTM"	0.348513584635779	NA
"SLTM"	"TRA2A"	0.348513584635779	NA
"SLTM"	"DDX42"	0.348260879458146	NA
"DDX42"	"SLTM"	0.348260879458146	NA
"SND1"	"FXR2"	0.348172587668343	NA
"FXR2"	"SND1"	0.348172587668343	NA
"GNL3"	"EIF4G2"	0.347766451482948	NA
"EIF4G2"	"GNL3"	0.347766451482948	NA
"NONO"	"GTF2F1"	0.347385523194868	NA
"GTF2F1"	"NONO"	0.347385523194868	NA
"TNRC6A"	"DGCR8"	0.346904686256169	NA
"DGCR8"	"TNRC6A"	0.346904686256169	NA
"YWHAG"	"DGCR8"	0.346812643357105	NA
"DGCR8"	"YWHAG"	0.346812643357105	NA
"TAF15"	"HNRNPU"	0.34609004532112	NA
"HNRNPU"	"TAF15"	0.34609004532112	NA
"YWHAG"	"GTF2F1"	0.346036011751315	NA
"GTF2F1"	"YWHAG"	0.346036011751315	NA
"RBM27"	"DGCR8"	0.345113756638739	NA
"DGCR8"	"RBM27"	0.345113756638739	NA
"SBDS"	"GNL3"	0.344407875887885	NA
"GNL3"	"SBDS"	0.344407875887885	NA
"IGF2BP1"	"FXR2"	0.344296244286706	NA
"FXR2"	"IGF2BP1"	0.344296244286706	NA
"HNRNPUL1"	"CSTF2T"	0.344173241426243	NA
"CSTF2T"	"HNRNPUL1"	0.344173241426243	NA
"SRSF1"	"EIF4G2"	0.344087601010435	NA
"EIF4G2"	"SRSF1"	0.344087601010435	NA
"NPM1"	"EIF4G2"	0.343631819160523	"TRUE"
"EIF4G2"	"NPM1"	0.343631819160523	NA
"YWHAG"	"RBM27"	0.343430838722536	NA
"RBM27"	"YWHAG"	0.343430838722536	NA
"TROVE2"	"DGCR8"	0.343423594940342	NA
"DGCR8"	"TROVE2"	0.343423594940342	NA
"SLTM"	"GTF2F1"	0.342284443651434	NA
"GTF2F1"	"SLTM"	0.342284443651434	NA
"YWHAG"	"FXR2"	0.342099259741276	NA
"FXR2"	"YWHAG"	0.342099259741276	NA
"SND1"	"LIN28B"	0.342098077602476	NA
"LIN28B"	"SND1"	0.342098077602476	NA
"IGF2BP2"	"FAM120A"	0.341693121443341	NA
"FAM120A"	"IGF2BP2"	0.341693121443341	NA
"TNRC6A"	"SBDS"	0.341619547538184	NA
"SBDS"	"TNRC6A"	0.341619547538184	NA
"YWHAG"	"FXR1"	0.34142099921507	NA
"FXR1"	"YWHAG"	0.34142099921507	NA
"XRN2"	"DDX42"	0.339590787725794	NA
"DDX42"	"XRN2"	0.339590787725794	NA
"SLTM"	"PTBP1"	0.338847917528928	NA
"PTBP1"	"SLTM"	0.338847917528928	NA
"SND1"	"GNL3"	0.338097425485525	NA
"GNL3"	"SND1"	0.338097425485525	NA
"SAFB2"	"CPSF6"	0.337667520649565	NA
"CPSF6"	"SAFB2"	0.337667520649565	NA
"NONO"	"CSTF2T"	0.33740437738962	NA
"CSTF2T"	"NONO"	0.33740437738962	NA
"LIN28B"	"FMR1"	0.336355284346763	NA
"FMR1"	"LIN28B"	0.336355284346763	NA
"XRN2"	"EIF4G2"	0.336217336239336	NA
"EIF4G2"	"XRN2"	0.336217336239336	NA
"SAFB2"	"HNRNPA1"	0.336202366688096	NA
"HNRNPA1"	"SAFB2"	0.336202366688096	"TRUE"
"RBM27"	"GTF2F1"	0.335924883116991	NA
"GTF2F1"	"RBM27"	0.335924883116991	NA
"GNL3"	"FXR1"	0.335139070449191	NA
"FXR1"	"GNL3"	0.335139070449191	NA
"SLTM"	"FXR2"	0.335060297089365	NA
"FXR2"	"SLTM"	0.335060297089365	NA
"FXR1"	"CPSF6"	0.334168134152165	NA
"CPSF6"	"FXR1"	0.334168134152165	NA
"GNL3"	"DGCR8"	0.333914623359958	NA
"DGCR8"	"GNL3"	0.333914623359958	NA
"SBDS"	"RBM27"	0.333797650576489	NA
"RBM27"	"SBDS"	0.333797650576489	NA
"XRN2"	"SLTM"	0.333735265493637	NA
"SLTM"	"XRN2"	0.333735265493637	NA
"SLTM"	"RBM27"	0.33263606422966	NA
"RBM27"	"SLTM"	0.33263606422966	NA
"YWHAG"	"TROVE2"	0.332246062499703	NA
"TROVE2"	"YWHAG"	0.332246062499703	NA
"FXR1"	"FAM120A"	0.33216910001462	NA
"FAM120A"	"FXR1"	0.33216910001462	NA
"NONO"	"DGCR8"	0.33080440514846	NA
"DGCR8"	"NONO"	0.33080440514846	NA
"YWHAG"	"FAM120A"	0.330690485269147	NA
"FAM120A"	"YWHAG"	0.330690485269147	NA
"TNRC6A"	"SLTM"	0.33046508612964	NA
"SLTM"	"TNRC6A"	0.33046508612964	NA
"FXR1"	"EIF4G2"	0.32997583978994	NA
"EIF4G2"	"FXR1"	0.32997583978994	NA
"XRN2"	"GTF2F1"	0.329967475632443	NA
"GTF2F1"	"XRN2"	0.329967475632443	NA
"GTF2F1"	"DGCR8"	0.329482437642441	NA
"DGCR8"	"GTF2F1"	0.329482437642441	NA
"PTBP1"	"NPM1"	0.329348859837344	"TRUE"
"NPM1"	"PTBP1"	0.329348859837344	NA
"GNL3"	"FXR2"	0.328743277907665	NA
"FXR2"	"GNL3"	0.328743277907665	NA
"TAF15"	"GTF2F1"	0.3286902624384	NA
"GTF2F1"	"TAF15"	0.3286902624384	NA
"TARDBP"	"SRSF1"	0.328128652933606	NA
"SRSF1"	"TARDBP"	0.328128652933606	NA
"TAF15"	"HNRNPUL1"	0.328017552205246	NA
"HNRNPUL1"	"TAF15"	0.328017552205246	NA
"TROVE2"	"LSM11"	0.327457790970293	NA
"LSM11"	"TROVE2"	0.327457790970293	NA
"SBDS"	"NPM1"	0.327272396166044	NA
"NPM1"	"SBDS"	0.327272396166044	NA
"GNL3"	"CPSF6"	0.327213377373314	NA
"CPSF6"	"GNL3"	0.327213377373314	NA
"SLTM"	"FMR1"	0.327077807956124	NA
"FMR1"	"SLTM"	0.327077807956124	NA
"TARDBP"	"SLTM"	0.326783602005474	NA
"SLTM"	"TARDBP"	0.326783602005474	NA
"GTF2F1"	"EIF4G2"	0.326139649671245	NA
"EIF4G2"	"GTF2F1"	0.326139649671245	NA
"NPM1"	"CPSF6"	0.325814327210249	"TRUE"
"CPSF6"	"NPM1"	0.325814327210249	NA
"IGF2BP1"	"FAM120A"	0.325149666079748	NA
"FAM120A"	"IGF2BP1"	0.325149666079748	NA
"XRN2"	"CPSF6"	0.324725495110568	NA
"CPSF6"	"XRN2"	0.324725495110568	NA
"SLTM"	"SAFB2"	0.324441904141738	NA
"SAFB2"	"SLTM"	0.324441904141738	NA
"TAF15"	"CSTF2T"	0.324416125000955	NA
"CSTF2T"	"TAF15"	0.324416125000955	NA
"SRSF1"	"FMR1"	0.324106878302276	NA
"FMR1"	"SRSF1"	0.324106878302276	NA
"TNRC6A"	"IGF2BP2"	0.324106037995911	NA
"IGF2BP2"	"TNRC6A"	0.324106037995911	NA
"SLTM"	"CSTF2T"	0.324013204771118	NA
"CSTF2T"	"SLTM"	0.324013204771118	NA
"RBM27"	"GNL3"	0.323733240513956	NA
"GNL3"	"RBM27"	0.323733240513956	NA
"YWHAG"	"FMR1"	0.32312024262758	NA
"FMR1"	"YWHAG"	0.32312024262758	NA
"FAM120A"	"EIF4G2"	0.323050319538815	NA
"EIF4G2"	"FAM120A"	0.323050319538815	NA
"SND1"	"LSM11"	0.322709565162357	NA
