"Var1"	"Var2"	"value"
"AUH_exon"	"CSTF2T_exon"	0.209054181878563
"CPSF6_exon"	"CSTF2T_exon"	0.278252865508229
"CSTF2T_exon"	"CSTF2T_exon"	1
"DDX3X_exon"	"CSTF2T_exon"	0.173857674242774
"DDX42_exon"	"CSTF2T_exon"	0.267182945154213
"DGCR8_exon"	"CSTF2T_exon"	0.269454971711499
"EIF4G2_exon"	"CSTF2T_exon"	0.285459881425576
"FAM120A_exon"	"CSTF2T_exon"	0.281168445046362
"FMR1_exon"	"CSTF2T_exon"	0.201682474155644
"FXR1_exon"	"CSTF2T_exon"	0.202677378574807
"FXR2_exon"	"CSTF2T_exon"	0.201752342376002
"GNL3_exon"	"CSTF2T_exon"	0.216964940330522
"GTF2F1_exon"	"CSTF2T_exon"	0.357196860447717
"HNRNPA1_exon"	"CSTF2T_exon"	0.27934442942946
"HNRNPK_exon"	"CSTF2T_exon"	0.222240350878562
"HNRNPM_exon"	"CSTF2T_exon"	0.253071957564359
"HNRNPU_exon"	"CSTF2T_exon"	0.315173929012202
"HNRNPUL1_exon"	"CSTF2T_exon"	0.336156930197183
"IGF2BP1_exon"	"CSTF2T_exon"	0.15970222923276
"IGF2BP2_exon"	"CSTF2T_exon"	0.191397723001476
"ILF3_exon"	"CSTF2T_exon"	0.305695631880698
"KHDRBS1_exon"	"CSTF2T_exon"	0.238835287440291
"KHSRP_exon"	"CSTF2T_exon"	0.180977291037742
"LARP7_exon"	"CSTF2T_exon"	0.21576240490514
"LIN28B_exon"	"CSTF2T_exon"	0.176230189155734
"LSM11_exon"	"CSTF2T_exon"	0.281388414459104
"NONO_exon"	"CSTF2T_exon"	0.330850757254142
"NPM1_exon"	"CSTF2T_exon"	0.225237661143352
"PRPF8_exon"	"CSTF2T_exon"	0.18680484253096
"PTBP1_exon"	"CSTF2T_exon"	0.237066767250838
"RBM22_exon"	"CSTF2T_exon"	0.220838879540852
"RBM27_exon"	"CSTF2T_exon"	0.26277556738266
"SAFB2_exon"	"CSTF2T_exon"	0.283464936479105
"SBDS_exon"	"CSTF2T_exon"	0.20525806514447
"SLBP_exon"	"CSTF2T_exon"	0.179476212132413
"SLTM_exon"	"CSTF2T_exon"	0.317221217284645
"SMNDC1_exon"	"CSTF2T_exon"	0.255603881949299
"SND1_exon"	"CSTF2T_exon"	0.238053408522542
"SRSF1_exon"	"CSTF2T_exon"	0.231565395684767
"TAF15_exon"	"CSTF2T_exon"	0.327294449000036
"TARDBP_exon"	"CSTF2T_exon"	0.23958543022276
"TNRC6A_exon"	"CSTF2T_exon"	0.257310596104221
"TRA2A_exon"	"CSTF2T_exon"	0.226712948345784
"TROVE2_exon"	"CSTF2T_exon"	0.296266625903587
"U2AF1_exon"	"CSTF2T_exon"	0.167785786399861
"U2AF2_exon"	"CSTF2T_exon"	0.127787990551078
"XRN2_exon"	"CSTF2T_exon"	0.28703791905157
"YWHAG_exon"	"CSTF2T_exon"	0.298656558594154
"AUH_exon"	"DDX3X_exon"	0.18080992335621
"CPSF6_exon"	"DDX3X_exon"	0.25816741752991
"CSTF2T_exon"	"DDX3X_exon"	0.173857674242774
"DDX3X_exon"	"DDX3X_exon"	1
"DDX42_exon"	"DDX3X_exon"	0.199914368600848
"DGCR8_exon"	"DDX3X_exon"	0.25222594149769
"EIF4G2_exon"	"DDX3X_exon"	0.280998350234178
